name,id,votes,percent,candidate,party
Brampton South/Brampton-Sud,35011,4843,10.7%,Amarjit Sangha,NPD-Nouveau Parti Démocratique
Brampton South/Brampton-Sud,35011,15929,35%,Kyle Seeback,Conservateur
Brampton South/Brampton-Sud,35011,23681,52.1%,Sonia Sidhu,Libéral
Brampton West/Brampton-Ouest,35012,674,1.6%,Karthika Gobinath,Parti Vert
Brampton West/Brampton-Ouest,35012,5400,12.4%,Adaoma Patterson,NPD-Nouveau Parti Démocratique
Brampton West/Brampton-Ouest,35012,13068,30.1%,Ninder Thind,Conservateur
Brampton West/Brampton-Ouest,35012,24256,55.9%,Kamal Khera,Libéral
Brantford--Brant,35013,164,0.3%,The Engineer Turmel,Indépendant
Brantford--Brant,35013,515,0.8%,Rob Ferguson,Libertarien
Brantford--Brant,35013,1582,2.5%,Kevin Brandt,Parti Vert
Brantford--Brant,35013,15715,24.8%,Marc Laferriere,NPD-Nouveau Parti Démocratique
Brantford--Brant,35013,19422,30.7%,Danielle Takacs,Libéral
Brantford--Brant,35013,25874,40.9%,Phil McColeman,Conservateur
Bruce--Grey--Owen Sound,35014,1887,3.3%,Chris Albinati,Parti Vert
Bruce--Grey--Owen Sound,35014,6270,11.1%,David McLaren,NPD-Nouveau Parti Démocratique
Bruce--Grey--Owen Sound,35014,21879,38.8%,Kimberley Love,Libéral
Bruce--Grey--Owen Sound,35014,26297,46.7%,Larry Miller,Conservateur
Burlington,35015,1710,2.4%,Vince Fiorito,Parti Vert
Burlington,35015,6381,9.1%,David Laird,NPD-Nouveau Parti Démocratique
Burlington,35015,29780,42.5%,Mike Wallace,Conservateur
Burlington,35015,32229,46%,Karina Gould,Libéral
Cambridge,35016,108,0.2%,Manuel Couto,Marxiste-Léniniste
Cambridge,35016,474,0.9%,Lee Sperduti,Indépendant
Cambridge,35016,1723,3.2%,Michele Braniff,Parti Vert
Cambridge,35016,7397,13.9%,Bobbi Stewart,NPD-Nouveau Parti Démocratique
Cambridge,35016,20613,38.6%,Gary Goodyear,Conservateur
Cambridge,35016,23024,43.2%,Bryan May,Libéral
Chatham-Kent--Leamington,35017,1394,2.7%,Mark Vercouteren,Parti Vert
Chatham-Kent--Leamington,35017,9549,18.4%,Tony Walsh,NPD-Nouveau Parti Démocratique
Chatham-Kent--Leamington,35017,19351,37.2%,Katie Omstead,Libéral
Chatham-Kent--Leamington,35017,21677,41.7%,Dave Van Kesteren,Conservateur
Davenport,35018,107,0.2%,Chai Kalevar,Indépendant
Davenport,35018,261,0.5%,Miguel Figueroa,Communiste
Davenport,35018,1530,3.1%,Dan Stein,Parti Vert
Davenport,35018,5233,10.6%,Carlos Oliveira,Conservateur
Davenport,35018,20506,41.4%,Andrew Cash,NPD-Nouveau Parti Démocratique
Davenport,35018,21947,44.3%,Julie Dzerowicz,Libéral
Don Valley East/Don Valley-Est,35019,1078,2.6%,Laura Elizabeth Sanderson,Parti Vert
Don Valley East/Don Valley-Est,35019,4307,10.4%,Khalid Ahmed,NPD-Nouveau Parti Démocratique
Don Valley East/Don Valley-Est,35019,12155,29.2%,Maureen Harquail,Conservateur
Don Valley East/Don Valley-Est,35019,24048,57.8%,Yasmin Ratansi,Libéral
Don Valley North/Don Valley-Nord,35020,1018,2.2%,Caroline Brown,Parti Vert
Don Valley North/Don Valley-Nord,35020,3896,8.5%,Akil Sadikali,NPD-Nouveau Parti Démocratique
Don Valley North/Don Valley-Nord,35020,17279,37.8%,Joe Daniel,Conservateur
Don Valley North/Don Valley-Nord,35020,23494,51.4%,Geng Tan,Libéral
Don Valley West/Don Valley-Ouest,35021,75,0.1%,Sharon Cromwell,Indépendant
Don Valley West/Don Valley-Ouest,35021,84,0.2%,Elizabeth Hill,Communiste
Don Valley West/Don Valley-Ouest,35021,325,0.6%,John Kittredge,Libertarien
Don Valley West/Don Valley-Ouest,35021,848,1.7%,Natalie Hunt,Parti Vert
Don Valley West/Don Valley-Ouest,35021,3076,6%,Syeda Riaz,NPD-Nouveau Parti Démocratique
Don Valley West/Don Valley-Ouest,35021,19206,37.6%,John Carmichael,Conservateur
Don Valley West/Don Valley-Ouest,35021,27472,53.8%,Rob Oliphant,Libéral
Dufferin--Caledon,35022,4398,7.3%,Rehya Yazbek,NPD-Nouveau Parti Démocratique
Dufferin--Caledon,35022,4433,7.3%,Nancy Urekar,Parti Vert
Dufferin--Caledon,35022,23643,39.1%,Ed Crewson,Libéral
Dufferin--Caledon,35022,27977,46.3%,David Allan Tilson,Conservateur
Durham,35023,364,0.6%,Andrew Moriarity,Parti de l'Héritage Chrétien
Durham,35023,1616,2.5%,Stacey Leadbetter,Parti Vert
Durham,35023,10289,16%,Derek Spence,NPD-Nouveau Parti Démocratique
Durham,35023,22949,35.8%,Corinna Traill,Libéral
Durham,35023,28967,45.1%,Erin O'Toole,Conservateur
Eglinton--Lawrence,35024,114,0.2%,Rudy Brunell Solomonovici,Environment Voters
Eglinton--Lawrence,35024,308,0.6%,Ethan Buchman,Libertarien
Eglinton--Lawrence,35024,799,1.4%,Matthew Chisholm,Parti Vert
Eglinton--Lawrence,35024,3505,6.3%,Andrew Thomson,NPD-Nouveau Parti Démocratique
Eglinton--Lawrence,35024,23788,42.6%,Joe Oliver,Conservateur
Eglinton--Lawrence,35024,27278,48.9%,Marco Mendicino,Libéral
Elgin--Middlesex--London,35025,185,0.3%,Lou Bernardi,Rhinocéros
Elgin--Middlesex--London,35025,529,0.9%,Michael Hopkins,Parti de l'Héritage Chrétien
Elgin--Middlesex--London,35025,1783,3.1%,Bronagh Joyce Morgan,Parti Vert
Elgin--Middlesex--London,35025,8771,15.4%,Fred Sinclair,NPD-Nouveau Parti Démocratique
Elgin--Middlesex--London,35025,17642,31%,Lori Baldwin-Sands,Libéral
Elgin--Middlesex--London,35025,28023,49.2%,Karen Louise Vecchio,Conservateur
Essex,35026,77,0.1%,Enver Villamizar,Marxiste-Léniniste
Essex,35026,1141,1.9%,Jennifer Alderson,Parti Vert
Essex,35026,12639,20.9%,Audrey Festeryga,Libéral
Essex,35026,21602,35.7%,Jeff Watson,Conservateur
Essex,35026,25072,41.4%,Tracey Ramsey,NPD-Nouveau Parti Démocratique
Etobicoke Centre/Etobicoke-Centre,35027,378,0.6%,Rob Wolvin,Parti PC
Etobicoke Centre/Etobicoke-Centre,35027,856,1.4%,Shawn Rizvi,Parti Vert
Etobicoke Centre/Etobicoke-Centre,35027,4886,7.9%,Tanya De Mello,NPD-Nouveau Parti Démocratique
Etobicoke Centre/Etobicoke-Centre,35027,23070,37.3%,Ted Opitz,Conservateur
Etobicoke Centre/Etobicoke-Centre,35027,32612,52.8%,Borys Wrzesnewskyj,Libéral
Etobicoke--Lakeshore,35028,168,0.3%,Janice Murray,Marxiste-Léniniste
Etobicoke--Lakeshore,35028,233,0.4%,Liz White,Environment Voters
Etobicoke--Lakeshore,35028,1507,2.3%,Angela Salewsky,Parti Vert
Etobicoke--Lakeshore,35028,7030,10.9%,Phil Trotter,NPD-Nouveau Parti Démocratique
Etobicoke--Lakeshore,35028,20932,32.4%,Bernard Trottier,Conservateur
Etobicoke--Lakeshore,35028,34638,53.7%,James Maloney,Libéral
Etobicoke North/Etobicoke-Nord,35029,164,0.4%,George Szebik,Aucune appartenance
Etobicoke North/Etobicoke-Nord,35029,232,0.6%,Anna Di Carlo,Marxiste-Léniniste
Etobicoke North/Etobicoke-Nord,35029,524,1.2%,Akhtar Ayub,Parti Vert
Etobicoke North/Etobicoke-Nord,35029,5220,12.4%,Faisal Hassan,NPD-Nouveau Parti Démocratique
Etobicoke North/Etobicoke-Nord,35029,9673,23%,Toyin Dada,Conservateur
Etobicoke North/Etobicoke-Nord,35029,26251,62.4%,Kirsty Duncan,Libéral
Flamborough--Glanbrook,35030,1866,3.4%,David Allan Urquhart,Parti Vert
Flamborough--Glanbrook,35030,7779,14%,Mike DiLivio,NPD-Nouveau Parti Démocratique
Flamborough--Glanbrook,35030,21728,39.1%,Jennifer Stebbing,Libéral
Flamborough--Glanbrook,35030,24137,43.5%,David Sweet,Conservateur
Glengarry--Prescott--Russell,35031,377,0.6%,Jean-Serge Brisson,Libertarien
Glengarry--Prescott--Russell,35031,1153,1.8%,Genevieve Malouin-Diraddo,Parti Vert
Glengarry--Prescott--Russell,35031,5087,7.9%,Normand Laurin,NPD-Nouveau Parti Démocratique
Glengarry--Prescott--Russell,35031,23367,36.4%,Pierre Lemieux,Conservateur
Glengarry--Prescott--Russell,35031,34189,53.3%,Francis Drouin,Libéral
Guelph,35032,144,0.2%,Tristan Dineen,Communiste
Guelph,35032,193,0.3%,Kornelis Klevering,Radical Marijuana
Guelph,35032,520,0.7%,Alexander Fekri,Libertarien
Guelph,35032,7909,11.3%,Gord Miller,Parti Vert
Guelph,35032,8392,12%,Andrew Seagram,NPD-Nouveau Parti Démocratique
Guelph,35032,18407,26.3%,Gloria Kovach,Conservateur
Guelph,35032,34303,49.1%,Lloyd Longfield,Libéral
Haldimand--Norfolk,35033,151,0.3%,Leslie Bory,Indépendant
Haldimand--Norfolk,35033,272,0.5%,Dustin Wakeford,Indépendant
Haldimand--Norfolk,35033,884,1.6%,Dave Bylsma,Parti de l'Héritage Chrétien
Haldimand--Norfolk,35033,1857,3.3%,Wayne Ettinger,Parti Vert
Haldimand--Norfolk,35033,7625,13.6%,John Harris,NPD-Nouveau Parti Démocratique
Haldimand--Norfolk,35033,20487,36.6%,Joan Mouland,Libéral
Haldimand--Norfolk,35033,24714,44.1%,Diane Finley,Conservateur
Haliburton--Kawartha Lakes--Brock,35034,2470,4%,Bill MacCallum,Parti Vert
Haliburton--Kawartha Lakes--Brock,35034,12012,19.4%,Mike Perry,NPD-Nouveau Parti Démocratique
Haliburton--Kawartha Lakes--Brock,35034,19634,31.8%,David Marquis,Libéral
Haliburton--Kawartha Lakes--Brock,35034,27718,44.8%,Jamie Schmale,Conservateur
Hamilton Centre/Hamilton-Centre,35035,186,0.5%,Maria Anastasiou,Indépendant
Hamilton Centre/Hamilton-Centre,35035,316,0.8%,Rob Young,Libertarien
Hamilton Centre/Hamilton-Centre,35035,348,0.8%,Michael James Baldasaro,Radical Marijuana
Hamilton Centre/Hamilton-Centre,35035,1778,4.3%,Ute Schmid-Jones,Parti Vert
Hamilton Centre/Hamilton-Centre,35035,6018,14.6%,Yonatan Rozenszajn,Conservateur
Hamilton Centre/Hamilton-Centre,35035,13718,33.4%,Anne Tennier,Libéral
Hamilton Centre/Hamilton-Centre,35035,18719,45.6%,David Christopherson,NPD-Nouveau Parti Démocratique
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,55,0.1%,Wendell Fields,Marxiste-Léniniste
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,170,0.3%,Bob Mann,Communiste
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,1305,2.6%,Erin Davis,Parti Vert
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,12715,25.3%,Diane Bubanko,Conservateur
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,16465,32.7%,Wayne Marston,NPD-Nouveau Parti Démocratique
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,19622,39%,Bob Bratina,Libéral
Hamilton Mountain,35037,438,0.9%,Jim Enos,Parti de l'Héritage Chrétien
Hamilton Mountain,35037,763,1.5%,Andrew James Caton,Libertarien
Hamilton Mountain,35037,1283,2.5%,Raheem Aman,Parti Vert
Hamilton Mountain,35037,12991,25.7%,Al Miles,Conservateur
Hamilton Mountain,35037,16933,33.5%,Shaun Burt,Libéral
Hamilton Mountain,35037,18146,35.9%,Scott Duvall,NPD-Nouveau Parti Démocratique
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,2633,4.2%,Peter Ormond,Parti Vert
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,10131,16.3%,Alex Johnstone,NPD-Nouveau Parti Démocratique
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,19821,31.8%,Vincent Samuel,Conservateur
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,29694,47.7%,Filomena Tassi,Libéral
Hastings--Lennox and Addington,35039,1466,2.9%,Cam Mather,Parti Vert
Hastings--Lennox and Addington,35039,6348,12.7%,Betty Bannon,NPD-Nouveau Parti Démocratique
Hastings--Lennox and Addington,35039,20879,41.9%,Daryl Kramp,Conservateur
Hastings--Lennox and Addington,35039,21104,42.4%,Mike Bossio,Libéral
Huron--Bruce,35040,1398,2.4%,Jutta Splettstoesser,Parti Vert
Huron--Bruce,35040,7544,13%,Gerard Creces,NPD-Nouveau Parti Démocratique
Huron--Bruce,35040,23129,39.7%,Allan Thompson,Libéral
Huron--Bruce,35040,26174,44.9%,Ben Lobb,Conservateur
Kanata--Carleton,35041,1704,2.7%,Andrew West,Parti Vert
Kanata--Carleton,35041,4313,6.8%,John Hansen,NPD-Nouveau Parti Démocratique
Kanata--Carleton,35041,24829,39.2%,Walter Pamic,Conservateur
Kanata--Carleton,35041,32477,51.3%,Karen McCrimmon,Libéral
Kenora,35042,162,0.5%,Kelvin Boucher-Chicago,Indépendant
Kenora,35042,501,1.6%,Ember C. McKillop,Parti Vert
Kenora,35042,8751,28.5%,Greg Rickford,Conservateur
Kenora,35042,10420,33.9%,Howard Hampton,NPD-Nouveau Parti Démocratique
Kenora,35042,10918,35.5%,Bob Nault,Libéral
King--Vaughan,35043,1037,1.9%,Ann Raney,Parti Vert
King--Vaughan,35043,3571,6.5%,Natalie Rizzo,NPD-Nouveau Parti Démocratique
King--Vaughan,35043,24170,44.2%,Konstantin Toubis,Conservateur
King--Vaughan,35043,25908,47.4%,Deb Schulte,Libéral
Kingston and the Islands/Kingston et les Îles,35044,305,0.5%,Luke McAllister,Libertarien
Kingston and the Islands/Kingston et les Îles,35044,2933,4.5%,Nathan Townend,Parti Vert
Kingston and the Islands/Kingston et les Îles,35044,11185,17%,Daniel Beals,NPD-Nouveau Parti Démocratique
Kingston and the Islands/Kingston et les Îles,35044,14928,22.7%,Andy Brooke,Conservateur
Kingston and the Islands/Kingston et les Îles,35044,36421,55.4%,Mark Gerretsen,Libéral
Kitchener Centre/Kitchener-Centre,35045,112,0.2%,Julian Ichim,Marxiste-Léniniste
Kitchener Centre/Kitchener-Centre,35045,515,1%,Slavko Miladinovic,Libertarien
Kitchener Centre/Kitchener-Centre,35045,1597,3.1%,Nicholas Wendler,Parti Vert
Kitchener Centre/Kitchener-Centre,35045,8680,16.6%,Susan Cadell,NPD-Nouveau Parti Démocratique
Kitchener Centre/Kitchener-Centre,35045,15872,30.4%,Stephen Woodworth,Conservateur
Kitchener Centre/Kitchener-Centre,35045,25504,48.8%,Raj Saini,Libéral
Kitchener--Conestoga,35046,685,1.4%,Richard Hodgson,Libertarien
Kitchener--Conestoga,35046,1314,2.8%,Bob Jonkman,Parti Vert
Kitchener--Conestoga,35046,4653,9.8%,James Villeneuve,NPD-Nouveau Parti Démocratique
Kitchener--Conestoga,35046,20398,42.8%,Tim Louis,Libéral
Kitchener--Conestoga,35046,20649,43.3%,Harold Albrecht,Conservateur
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,91,0.2%,Elaine Baetz,Marxiste-Léniniste
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,772,1.6%,Nathan Lajeunesse,Libertarien
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,1767,3.7%,David Weber,Parti Vert
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,7440,15.6%,Lorne Bruce,NPD-Nouveau Parti Démocratique
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,17544,36.7%,Marian Gagné,Conservateur
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,20215,42.3%,Marwan Tabbara,Libéral
Lambton--Kent--Middlesex,35048,1873,3.3%,Jim Johnston,Parti Vert
Lambton--Kent--Middlesex,35048,9598,17%,Rex Isaac,NPD-Nouveau Parti Démocratique
Lambton--Kent--Middlesex,35048,16592,29.4%,Ken Filson,Libéral
Lambton--Kent--Middlesex,35048,28300,50.2%,Bev Shipley,Conservateur
Lanark--Frontenac--Kingston,35049,418,0.7%,Mark Budd,Libertarien
Lanark--Frontenac--Kingston,35049,2025,3.5%,Anita Payne,Parti Vert
Lanark--Frontenac--Kingston,35049,8073,14.1%,John Fenik,NPD-Nouveau Parti Démocratique
Lanark--Frontenac--Kingston,35049,19325,33.8%,Phil Archambault,Libéral
Lanark--Frontenac--Kingston,35049,27399,47.9%,Scott Reid,Conservateur
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,2088,3.7%,Lorraine A. Rekmans,Parti Vert
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,4722,8.4%,Margaret Andrade,NPD-Nouveau Parti Démocratique
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,22888,40.6%,Mary Jean McFall,Libéral
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,26738,47.4%,Gord Brown,Conservateur
London--Fanshawe,35051,352,0.6%,Ali Hamadi,Indépendant
London--Fanshawe,35051,1604,2.9%,Matthew Peloza,Parti Vert
London--Fanshawe,35051,14891,27.2%,Suzanna Dieleman,Conservateur
London--Fanshawe,35051,17214,31.4%,Khalil Ramal,Libéral
London--Fanshawe,35051,20684,37.8%,Irene Mathyssen,NPD-Nouveau Parti Démocratique
London North Centre/London-Centre-Nord,35052,145,0.2%,Marvin Roman,Marxiste-Léniniste
London North Centre/London-Centre-Nord,35052,2286,3.6%,Carol Dyck,Parti Vert
London North Centre/London-Centre-Nord,35052,9423,14.7%,German Gutierrez,NPD-Nouveau Parti Démocratique
London North Centre/London-Centre-Nord,35052,19990,31.1%,Susan Truppe,Conservateur
London North Centre/London-Centre-Nord,35052,32427,50.5%,Peter Fragiskatos,Libéral
London West/London-Ouest,35053,87,0.1%,Michael Lewis,Communiste
London West/London-Ouest,35053,732,1.1%,Jacques Y. Boudreau,Libertarien
London West/London-Ouest,35053,1918,2.8%,Dimitri Lascaris,Parti Vert
London West/London-Ouest,35053,10087,14.8%,Matthew Rowlinson,NPD-Nouveau Parti Démocratique
London West/London-Ouest,35053,24036,35.3%,Ed Holder,Conservateur
London West/London-Ouest,35053,31167,45.8%,Kate Young,Libéral
Markham--Stouffville,35054,1145,1.9%,Myles O'Brien,Parti Vert
Markham--Stouffville,35054,3647,6.1%,Gregory Hines,NPD-Nouveau Parti Démocratique
Markham--Stouffville,35054,25565,42.8%,Paul Calandra,Conservateur
Markham--Stouffville,35054,29416,49.2%,Jane Philpott,Libéral
Markham--Thornhill,35055,535,1.2%,Joshua Russell,Parti Vert
Markham--Thornhill,35055,4595,10.7%,Senthi Chelliah,NPD-Nouveau Parti Démocratique
Markham--Thornhill,35055,13849,32.3%,Jobson Easow,Conservateur
Markham--Thornhill,35055,23878,55.7%,John McCallum,Libéral
Markham--Unionville,35056,1110,2.2%,Elvin Kao,Parti Vert
Markham--Unionville,35056,2528,5.1%,Colleen Zimmerman,NPD-Nouveau Parti Démocratique
Markham--Unionville,35056,21596,43.3%,Bang-Gu Jiang,Libéral
Markham--Unionville,35056,24605,49.4%,Bob Saroya,Conservateur
Milton,35057,493,1%,Chris Jewell,Libertarien
Milton,35057,1131,2.3%,Mini Batra,Parti Vert
Milton,35057,5366,10.9%,Alex Anabusi,NPD-Nouveau Parti Démocratique
Milton,35057,19940,40.4%,Azim Rizvee,Libéral
Milton,35057,22378,45.4%,Lisa Raitt,Conservateur
Mississauga Centre/Mississauga-Centre,35058,1129,2.2%,Linh Nguyen,Parti Vert
Mississauga Centre/Mississauga-Centre,35058,4920,9.5%,Farheen Khan,NPD-Nouveau Parti Démocratique
Mississauga Centre/Mississauga-Centre,35058,17431,33.6%,Julius Tiangson,Conservateur
Mississauga Centre/Mississauga-Centre,35058,28372,54.7%,Omar Alghabra,Libéral
Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,163,0.3%,Tim Sullivan,Marxiste-Léniniste
Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,766,1.5%,Jaymini Bhikha,Parti Vert
Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,4481,8.6%,Ali Naqvi,NPD-Nouveau Parti Démocratique
Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,18353,35.4%,Wladyslaw Lizon,Conservateur
Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,28154,54.2%,Peter Fonseca,Libéral
Mississauga--Erin Mills,35060,905,1.6%,Andrew Roblin,Parti Vert
Mississauga--Erin Mills,35060,5206,9.4%,Michelle Bilek,NPD-Nouveau Parti Démocratique
Mississauga--Erin Mills,35060,21716,39.2%,Bob Dechert,Conservateur
Mississauga--Erin Mills,35060,27520,49.7%,Iqra Khalid,Libéral
Mississauga--Lakeshore,35061,111,0.2%,Dagmar Sullivan,Marxiste-Léniniste
Mississauga--Lakeshore,35061,316,0.5%,Paul Woodworth,Libertarien
Mississauga--Lakeshore,35061,1397,2.4%,Ariana Burgener,Parti Vert
Mississauga--Lakeshore,35061,4735,8%,Eric Guerbilsky,NPD-Nouveau Parti Démocratique
Mississauga--Lakeshore,35061,24435,41.2%,Stella Ambler,Conservateur
Mississauga--Lakeshore,35061,28279,47.7%,Sven Spengemann,Libéral
Mississauga--Malton,35062,203,0.5%,Naresh Tharani,Indépendant
Mississauga--Malton,35062,737,1.7%,Heather Mercer,Parti Vert
Mississauga--Malton,35062,5450,12.3%,Dianne Douglas,NPD-Nouveau Parti Démocratique
Mississauga--Malton,35062,11701,26.4%,Jagdish Grewal,Conservateur
Mississauga--Malton,35062,26165,59.1%,Navdeep Bains,Libéral
Mississauga--Streetsville,35063,253,0.5%,Yegor Tarazevich,Parti de l'Héritage Chrétien
Mississauga--Streetsville,35063,1293,2.3%,Chris Hill,Parti Vert
Mississauga--Streetsville,35063,5040,9%,Fayaz Karim,NPD-Nouveau Parti Démocratique
Mississauga--Streetsville,35063,22621,40.4%,Brad Butt,Conservateur
Mississauga--Streetsville,35063,26792,47.8%,Gagan Sikand,Libéral
Nepean,35064,41,0.1%,Tony Seed,Marxiste-Léniniste
Nepean,35064,66,0.1%,Harry Splett,Indépendant
Nepean,35064,69,0.1%,Hubert Mamba,Indépendant
Nepean,35064,416,0.6%,Jesus Cosico,Indépendant
Nepean,35064,1513,2.3%,Jean-Luc Roger Cooke,Parti Vert
Nepean,35064,5324,8.2%,Sean Devine,NPD-Nouveau Parti Démocratique
Nepean,35064,23442,36.1%,Andy Wang,Conservateur
Nepean,35064,34017,52.4%,Chandra Arya,Libéral
Newmarket--Aurora,35065,762,1.3%,Dorian Baxter,Parti PC
Newmarket--Aurora,35065,1331,2.4%,Vanessa Long,Parti Vert
Newmarket--Aurora,35065,4806,8.5%,Yvonne Kelly,NPD-Nouveau Parti Démocratique
Newmarket--Aurora,35065,24057,42.6%,Lois Brown,Conservateur
Newmarket--Aurora,35065,25508,45.2%,Kyle Peterson,Libéral
Niagara Centre/Niagara-Centre,35066,96,0.2%,Ron J. Walker,Marxiste-Léniniste
Niagara Centre/Niagara-Centre,35066,291,0.5%,Jody Di Bartolomeo,Environment Voters
Niagara Centre/Niagara-Centre,35066,1316,2.4%,David Clow,Parti Vert
Niagara Centre/Niagara-Centre,35066,16248,29.7%,Leanna Villella,Conservateur
Niagara Centre/Niagara-Centre,35066,17218,31.5%,Malcolm Allen,NPD-Nouveau Parti Démocratique
Niagara Centre/Niagara-Centre,35066,19513,35.7%,Vance Badawey,Libéral
Niagara Falls,35067,1633,2.5%,Steven Soos,Parti Vert
Niagara Falls,35067,13525,20.9%,Carolynn Ioannoni,NPD-Nouveau Parti Démocratique
Niagara Falls,35067,22318,34.5%,Ron Planche,Libéral
Niagara Falls,35067,27235,42.1%,Rob Nicholson,Conservateur
Niagara West/Niagara-Ouest,35068,797,1.6%,Allan de Roo,Libertarien
Niagara West/Niagara-Ouest,35068,1234,2.4%,Harold Jonker,Parti de l'Héritage Chrétien
Niagara West/Niagara-Ouest,35068,1511,3%,Sid Frere,Parti Vert
Niagara West/Niagara-Ouest,35068,5802,11.5%,Nameer Rahman,NPD-Nouveau Parti Démocratique
Niagara West/Niagara-Ouest,35068,16581,32.7%,Phil Rose,Libéral
Niagara West/Niagara-Ouest,35068,24732,48.8%,Dean Allison,Conservateur
Nickel Belt,35069,98,0.2%,Dave Starbuck,Marxiste-Léniniste
Nickel Belt,35069,1217,2.5%,Stuart McCall,Parti Vert
Nickel Belt,35069,8221,16.7%,Aino Laamanen,Conservateur
Nickel Belt,35069,18556,37.8%,Claude Gravelle,NPD-Nouveau Parti Démocratique
Nickel Belt,35069,21021,42.8%,Marc G. Serré,Libéral
Nipissing--Timiskaming,35070,1257,2.6%,Nicole Peltier,Parti Vert
Nipissing--Timiskaming,35070,7936,16.2%,Kathleen Jodouin,NPD-Nouveau Parti Démocratique
Nipissing--Timiskaming,35070,14325,29.3%,Jay Aspin,Conservateur
Nipissing--Timiskaming,35070,25357,51.9%,Anthony Rota,Libéral
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,35071,1990,3.1%,Patricia Sinnott,Parti Vert
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,35071,9411,14.8%,Russ Christianson,NPD-Nouveau Parti Démocratique
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,35071,25165,39.6%,Adam Moulton,Conservateur
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,35071,27043,42.5%,Kim Rudd,Libéral
Oakville,35072,1420,2.2%,David Doel,Parti Vert
Oakville,35072,3830,5.9%,Che Marville,NPD-Nouveau Parti Démocratique
Oakville,35072,27497,42.5%,Terence Young,Conservateur
Oakville,35072,31956,49.4%,John Oliver,Libéral
Oakville North--Burlington/Oakville-Nord--Burlington,35073,666,1.1%,David Clement,Libertarien
Oakville North--Burlington/Oakville-Nord--Burlington,35073,968,1.6%,Adnan Shahbaz,Parti Vert
Oakville North--Burlington/Oakville-Nord--Burlington,35073,4405,7.2%,Janice Best,NPD-Nouveau Parti Démocratique
Oakville North--Burlington/Oakville-Nord--Burlington,35073,26342,43.3%,Effie Triantafilopoulos,Conservateur
Oakville North--Burlington/Oakville-Nord--Burlington,35073,28415,46.7%,Pam Damoff,Libéral
Oshawa,35074,75,0.1%,David Gershuny,Marxiste-Léniniste
Oshawa,35074,1522,2.5%,Michael Dempsey,Parti Vert
Oshawa,35074,16588,27.3%,Tito-Dante Marimpietri,Libéral
Oshawa,35074,19339,31.9%,Mary Fowler,NPD-Nouveau Parti Démocratique
Oshawa,35074,23162,38.2%,Colin Carrie,Conservateur
Ottawa Centre/Ottawa-Centre,35075,124,0.2%,Stuart Ryan,Communiste
Ottawa Centre/Ottawa-Centre,35075,160,0.2%,John Andrew Omowole Akpata,Radical Marijuana
Ottawa Centre/Ottawa-Centre,35075,167,0.2%,Conrad Lukawski,Rhinocéros
Ottawa Centre/Ottawa-Centre,35075,551,0.7%,Dean T. Harris,Libertarien
Ottawa Centre/Ottawa-Centre,35075,2246,3%,Tom Milroy,Parti Vert
Ottawa Centre/Ottawa-Centre,35075,10943,14.5%,Damian Konstantinakos,Conservateur
Ottawa Centre/Ottawa-Centre,35075,29098,38.5%,Paul Dewar,NPD-Nouveau Parti Démocratique
Ottawa Centre/Ottawa-Centre,35075,32211,42.7%,Catherine Mary McKenna,Libéral
Orléans,35076,1410,1.8%,Raphaël Morin,Parti Vert
